"FECHA","Calle","Carrera","Descripcion","Mov","Origen","Destino","Periodo","Peaton","Particular","Taxi","Motociclista","Bus","Camion","Minivan","Ciclista","Tractomula"
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:40:00",2,45,7,14,2,2,5,7,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:45:00",4,41,4,12,2,0,3,6,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:50:00",1,55,4,8,1,1,1,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"17:55:00",8,33,10,6,0,1,1,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:00:00",6,41,7,10,0,0,1,8,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:05:00",8,44,6,5,1,0,0,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:10:00",8,43,10,5,1,0,3,7,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:15:00",6,30,10,4,0,0,2,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:20:00",10,34,4,3,0,0,2,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:25:00",4,29,6,6,1,1,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:30:00",3,32,5,1,1,0,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:35:00",1,36,8,2,0,0,4,5,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:40:00",3,37,7,3,3,0,1,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:45:00",6,34,6,0,0,0,0,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:50:00",2,42,11,4,1,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"18:55:00",2,33,6,0,2,0,1,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:00:00",8,30,6,3,0,0,1,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:05:00",2,24,4,1,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:10:00",3,32,6,0,1,0,2,5,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:15:00",1,24,1,0,1,0,0,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:20:00",3,36,5,1,1,0,0,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:25:00",1,39,5,2,0,0,0,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:30:00",3,39,7,2,0,0,1,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:35:00",4,29,3,1,2,0,2,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:40:00",4,41,8,2,0,1,2,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:45:00",1,26,6,0,0,0,1,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:50:00",2,54,6,2,1,0,1,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"19:55:00",1,53,7,2,0,0,2,1,0
